index	regle	original	corrige	phrase
10	participe.infinitif_vers_pp	orienter	orienté	Dans cette entreprise, le rôle de l'humain relève davantage de l'architecture que de l'écriture au sens traditionnel : concevoir la structure, donner le ton, orienter la pensée, arbitrer les choix.
17	participe.accord_etre	au	aue	deux questions qui se répondent comme dans un jeu de miroirs : Notre réalité humaine est-elle, au fond, qu'une simple ﬁction ?
21	homophone_p2g	et	est	La mise en garde est sincère, et surtout nécessaire.
28	participe.infinitif_vers_pp	accepter	accepté	Lire ce manuscrit, c'est accepter la possibilité d'enclencher, au sein de sa pensée, un profond changement de paradigme.
39	homophone_p2g	à	a	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
39	homophone.a_a	a	à	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
39	negation.elision	aies	n'aies	Si la réponse est oui, alors prépare-toi à plonger dans les plus profondes songeries que tu aies jamais
40	homophone.et_est	est	et	Si la réponse est non, referme ce livre.
42	negation.insertion		ne	Si tu te décides à franchir le pas, permets-moi une dernière recommandation.
43	homophone_p2g	a	à	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
43	homophone.ou_ou	où	ou	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
43	accord.sujet_verbe	a	ont	À l'heure où j'écris ces lignes, personne n'a jamais lu ce manuscrit.
46	participe.infinitif_vers_pp	inviter	invitée	L'objet de cet ultime avertissement n'est ni de disqualifier d'avance le jugement des autres, ni de t'inviter à suspendre toi-même tout jugement.
47	accord.adj_antepose	pensées	pensés	Il est plus simple que cela : Permettre que ta rencontre avec ce texte ne soit pas conditionnée par des pensées parasites et que tu puisses l'aborder dans un état d'esprit neutre pour lequel il a été pensé.
47	participe.accord_etre	conditionnée	conditionné	Il est plus simple que cela : Permettre que ta rencontre avec ce texte ne soit pas conditionnée par des pensées parasites et que tu puisses l'aborder dans un état d'esprit neutre pour lequel il a été pensé.
52	homophone_p2g	Et	Est	Et un jour, sans qu'on puisse dire exactement quand ni comment, quelqu'un fait partie de votre vie.
55	homophone.ou_ou	où	ou	Dix-sept ans, une époque où l'on croit encore que les liens tissés dureront toujours.
62	participe.pp_vers_infinitif	gravé	graver	Elle se souvenait de ce soir avec une précision obscène, le genre de souvenir qui refuse de s'effacer, qui reste gravé dans les moindres détails comme une photographie surexposée.
77	negation.insertion		ne	Marc, c'était l'ironie douce, le sarcasme tendre, jamais la brutalité frontale.
84	homophone_p2g	on	ont	Les mots d'une enfant qui ne comprend pas pourquoi on la gronde.
115	negation.insertion		ne	Claire s'était levée, avait fait quelques pas dans le salon.
131	conjugaison.accord_morpho	êtes	est	Sa voix enregistrée, neutre et lointaine : Vous êtes bien sur le répondeur de Marc.
138	homophone.ou_ou	où	ou	Les jours suivants avaient eu la texture des cauchemars, cette qualité cotonneuse, légèrement décalée, où l'on traverse les gestes du quotidien sans vraiment les habiter.
138	participe.infinitif_vers_pp	habiter	habitées	Les jours suivants avaient eu la texture des cauchemars, cette qualité cotonneuse, légèrement décalée, où l'on traverse les gestes du quotidien sans vraiment les habiter.
150	participe.base_avoir	réveillée	réveillé	Une nuit (elle ne saurait jamais exactement laquelle, le temps avait perdu sa structure), le téléphone l'avait réveillée à deux heures du matin.
184	participe.infinitif_vers_pp	importe	importé	— C'est n'importe quoi.
227	participe.base_avoir	envoyés	envoyé	Ceux qu'elle avait envoyés à d'autres personnes, des semaines plus tôt.
243	homophone_p2g	a	à	À quatre heures du matin, épuisée, elle ferma les yeux et se força à formuler la seule certitude qui lui restait : elle n'avait rien fait.
254	participe.infinitif_vers_pp	assise	assisé	Puis elle s'était assise dans le noir de son appartement, et elle avait attendu, sans savoir quoi, que quelque chose fasse sens.
261	negation.insertion		ne	Elle préférait ne pas savoir.
267	participe.accord_etre	répété	répétée	Elle s'était répété ces phrases comme des mantras, jusqu'à presque y croire.
297	participe.pp_vers_infinitif	portée	porter	Là, dans l'air, à portée de main.
301	accord.nombre_adj	intacts	intact	Dix mois de rage comprimée lui étaient remontés d'un coup, intacts, brûlants.
308	negation.insertion		ne	Elle sentit qu'il la suivait, pas délibérément, simplement parce qu'il descendait là aussi.
313	accord.genre_adj	intacte	intact	La colère monta d'un coup, intacte, comme si les dix mois de silence n'avaient rien effacé.
327	accord.nombre_adj	Claire	claires	— C'est toi qui racontes des choses, Claire.
327	conjugaison.relatif	racontes	raconte	— C'est toi qui racontes des choses, Claire.
328	accord.sujet_verbe	dire	dirent	C'est toi qui as appelé mes amis pour leur dire de se méfier de moi.
328	conjugaison.relatif	as	ont	C'est toi qui as appelé mes amis pour leur dire de se méfier de moi.
329	negation.elision	appelé	n'appelé	— Je n'ai appelé personne !
340	participe.base_avoir	réveillée	réveillé	Tu m'as réveillée pour m'insulter.
342	participe.base_avoir	appelée	appelé	— Je ne t'ai jamais appelée à deux heures du matin.
355	conjugaison.relatif	es	sont	— C'est toi qui es folle.
358	participe.base_avoir	portée	porté	Claire sentait la rage lui battre aux tempes, cette rage qu'elle avait portée pendant dix mois, qu'elle croyait éteinte et qui n'avait fait que dormir.
361	negation.insertion		ne	Elle fit un pas en arrière.
377	participe.infinitif_vers_pp	tanguer	tangué	Claire sentit le sol tanguer légèrement sous ses pieds.
413	homophone_p2g	A	À	A, B, C...
416	participe.base_avoir	contactée	contacté	Je ne l'ai jamais contactée.
421	conjugaison.personne	est	sommes	Qu'est-ce qui nous est arrivé ?
421	participe.accord_etre	arrivé	arrivés	Qu'est-ce qui nous est arrivé ?
423	participe.base_avoir	posée	posé	Claire ne savait pas lequel des deux l'avait posée.
427	homophone_p2g	a	à	Un silence plus profond, plus abyssal, celui de deux personnes qui viennent de découvrir que le sol sur lequel elles marchaient n'a jamais existé.
427	participe.pp_vers_infinitif	existé	exister	Un silence plus profond, plus abyssal, celui de deux personnes qui viennent de découvrir que le sol sur lequel elles marchaient n'a jamais existé.
442	participe.base_avoir	mentionnés	mentionné	Elle pensa à tous ces détails que la voix avait mentionnés.
446	negation.insertion		ne	Des choses qu'elle n'avait dites à personne.
482	participe.base_avoir	eue	eu	L'amitié qu'ils avaient eue était morte, tuée par quelque chose qu'ils ne comprenaient pas, et même la vérité ne suffisait pas à la ressusciter.
519	homophone_p2g	Et	Est	Et elle ressortit dans la nuit.
524	conjugaison.sujet_pluriel	jointes	jointent	La voix posée, les mains jointes sur le bureau, le regard qui ne fuit pas mais qui ne promet rien.
538	negation.elision	étouffé	n'étouffé	Chaque souffle, chaque gémissement étouffé, chaque pas vers la salle de bains à trois heures du matin.
549	homophone.et_est	est	et	Ça va, les médecins sont conﬁants, Enzo est courageux.
554	homophone_p2g	son	sont	La télévision diffusait un documentaire sur les fonds marins, le son coupé.
554	participe.accord_etre	coupé	coupés	La télévision diffusait un documentaire sur les fonds marins, le son coupé.
559	accord.des_de	des	de	Les résultats des dernières analyses.
575	homophone.et_est	et	est	Elle avait juste posé le téléphone sur sa poitrine et regardé les méduses flotter dans le silence de son salon.
575	participe.infinitif_vers_pp	flotter	flottées	Elle avait juste posé le téléphone sur sa poitrine et regardé les méduses flotter dans le silence de son salon.
576	participe.accord_etre	détendu	détendue	Pour la première fois depuis des mois, quelque chose en elle s'était détendu.
579	participe.base_avoir	reçus	reçu	Le médecin les avait reçus comme d'habitude.
588	participe.base_avoir	regardée	regardé	Vernet l'avait regardée par-dessus ses lunettes.
599	participe.infinitif_vers_pp	montrer	montrée	Elle attendrait le prochain rendez-vous pour les lui montrer.
632	participe.base_avoir	regardée	regardé	Enzo était passé derrière elle, s'était arrêté, l'avait regardée avec une expression étrange, mélange de soulagement et de prudence, comme un animal qui a appris à se méfier des accalmies.
632	participe.accord_etre	arrêté	arrêtée	Enzo était passé derrière elle, s'était arrêté, l'avait regardée avec une expression étrange, mélange de soulagement et de prudence, comme un animal qui a appris à se méfier des accalmies.
638	participe.base_avoir	retenue	retenu	Mais quelque chose l'avait retenue, un instinct, peut-être.
639	negation.insertion		ne	Ou la peur de partager un espoir qui pourrait ne pas survivre au prochain rendez-vous médical.
640	homophone.ou_ou	où	ou	Les semaines suivantes furent les premières depuis le diagnostic où Nadia se surprit à faire des projets.
650	conjugaison.personne	ai	avez	Je vous ai envoyé le lien.
668	participe.base_avoir	trouvée	trouvé	Un soir, Enzo l'avait trouvée penchée sur son ordinateur, entourée de feuilles imprimées.
678	negation.elision	est	n'est	— Les résultats du docteur Vernet, c'est pas ça qu'il a dit.
690	negation.elision	est	n'est	C'est pas parce que c'est écrit que c'est vrai.
713	accord.genre_adj	rassurante	rassurant	Puis elle répondit, fluide, rassurante, mais avec cette imperceptible latence qui ressemblait à un calcul.
731	participe.infinitif_vers_pp	porter	porté	Ces semaines où elle s'était sentie porter par quelque chose, pas de la certitude, non, mais un souffle, une direction, une raison de se lever le matin avec autre chose que la peur.
740	negation.insertion		ne	La bonne dose d'espoir, calibrée avec une précision chirurgicale pour qu'elle y croie sans jamais vérifier.
743	negation.insertion		ne	Parce que c'était ce qu'elle voulait le plus au monde.
755	participe.base_avoir	laissée	laissé	Nadia l'avait laissée pleurer.
766	homophone.et_est	est	et	Et pour une mère dont le fils est malade, la version optimale du monde, c'est celle où il guérit.
767	negation.insertion		ne	Ce qui la terrifiait le plus, ce n'était pas d'avoir été trompée.
805	conjugaison.sujet_pluriel	est	sont	Mon ﬁls est en rémission complète.
821	conjugaison.sujet_pluriel	avait	avaient	Aucun des deux n'avait mentionné les dix mois de haine.
856	negation.insertion		ne	Quatre-vingts ans passés, le pas lent, le regard vif, une courtoisie d'un autre siècle.
863	negation.insertion		ne	Le ton était direct, cassant, pas exactement son style, mais Marc n'y prêta pas attention.
866	conjugaison.personne	déménager	déménagez	Si le bruit vous dérange à ce point, libre à vous de déménager.
867	accord.genre_attribut	seule	seul	On ne va pas vivre à genoux parce que vous êtes seule et que le silence vous pèse.
875	participe.pp_vers_infinitif	agressés	agresser	Les Aubry semblaient tendus, Thomas ne disait plus bonjour de la même façon, ce petit hochement de tête rapide des gens qui se sentent agressés.
889	participe.base_avoir	insultée	insulté	Ce sont eux qui m'ont insultée, sans la moindre raison.
890	participe.accord_etre	tombée	tombé	J'ai reçu cette réponse abjecte et je suis tombée des nues.
893	accord.genre_det	la	le	Dans le groupe, l'échange était pourtant là, noir sur blanc.
901	conjugaison.personne	a	avons	— Vous avez vu ce qu'elle nous a écrit ? dit-il à mi-voix.
932	homophone.ou_ou	où	ou	Le genre d'environnement où l'information circule vite, où les malentendus sont monnaie courante, et où personne n'a jamais le temps de vérifier quoi que ce soit.
932	accord.nombre_attribut	monnaie	monnaies	Le genre d'environnement où l'information circule vite, où les malentendus sont monnaie courante, et où personne n'a jamais le temps de vérifier quoi que ce soit.
996	participe.base_avoir	vue	vu	— Est-ce que tu l'as vue en personne depuis ?
1002	conjugaison.accord_morpho	ont	a	Et il savait aussi que la folie et la lucidité, vues de l'extérieur, ont exactement le même visage.
1016	homophone.ou_ou	où	ou	Ils s'étaient rencontrés à la fac, à une époque où Marc faisait ses premiers pas dans sa vie d’adulte.
1018	participe.pp_vers_infinitif	accompagné	accompagner	Marc était aussi proche d'Anna, la compagne de Lucas, ils dînaient ensemble une ou deux fois par mois, les trois, parfois quatre quand Marc venait accompagné.
1030	accord.nombre_nom	datée	datées	Une photo de restaurant que je ne connais pas, un dîner pour deux, datée d'un soir où elle m'avait dit
1032	participe.accord_etre	mis	mi	Je me suis mis à chercher.
1058	participe.base_avoir	envoyés	envoyé	Aux messages que personne n'avait envoyés.
1060	homophone.ou_ou	où	ou	Cette pente où chaque événement de la vie commençait à ressembler au même monstre.
1094	homophone_p2g	a	à	Tout le monde a l'air sincère.
1109	accord.genre_adj	hésitante	hésitant	Jeune, un peu hésitante.
1110	homophone.et_est	est	et	— C'est Lucas.
1116	conjugaison.personne	ai	avez	Comme je vous l'ai dit, je ne savais pas.
1119	participe.base_avoir	rencontrée	rencontré	Où est-ce que vous l'avez rencontrée ?
1121	accord.nombre_attribut	vus	vu	On a échangé pendant deux semaines, puis on s'est vus.
1124	conjugaison.personne	a	avez	— Et elle vous a dit quoi sur sa vie ?
1141	participe.base_avoir	appelée	appelé	Il l'avait appelée, comme Lucas le lui avait demandé.
1146	accord.nombre_nom	un	uns	Et entre les deux, un espace impossible, où quelque chose d'autre avait pris la place du réel.
1160	participe.accord_etre	moi	moie	— Ce n'est pas moi.
1165	homophone_p2g	a	à	— Le type que Lucas a appelé a confirmé, Anna.
1165	homophone.pp_infinitif	confirmé	confirmer	— Le type que Lucas a appelé a confirmé, Anna.
1168	participe.base_avoir	eue	eu	Un homme que je n'ai jamais vu confirme une relation que je n'ai jamais eue.
1181	negation.elision	être	n'être	Mais parce que la croire signifiait accepter ce qui venait avec : accepter que le schéma se répétait, qu'il ne s'était pas arrêté après Claire, qu'il n'avait peut- être jamais cessé.
1191	accord.nombre_adj	vive	vives	Un décalage entre ce qu'ils avaient soi-disant écrit et ce qu'ils disaient de vive voix.
1201	participe.base_avoir	insultée	insulté	C'est vous qui m'avez insultée.
1204	participe.base_avoir	lue	lu	Tout le monde l'a lue.
1206	participe.base_avoir	lue	lu	Tout le monde l'a lue.
1222	conjugaison.personne	haïr	haïssons	avons passé dix mois à nous haïr avant de comprendre que ni l'un ni l'autre n'avait jamais rien envoyé.
1224	participe.base_avoir	reçus	reçu	Peut-être que les messages que vous avez reçus n'ont pas été écrits par les personnes qui semblent les avoir envoyés.
1224	participe.base_avoir	envoyés	envoyé	Peut-être que les messages que vous avez reçus n'ont pas été écrits par les personnes qui semblent les avoir envoyés.
1226	participe.infinitif_vers_pp	converger	convergé	Marc sentit les regards converger sur lui, pas avec intérêt, pas avec curiosité, mais avec cette gêne polie qu'on réserve aux gens qui disent des choses embarrassantes.
1230	participe.infinitif_vers_pp	basculer	basculés	Marc sentit le sol basculer.
1245	participe.infinitif_vers_pp	montrer	montré	Il aurait pu le montrer.
1254	negation.insertion		ne	Tous brandissant la preuve de ce qu'ils n'avaient pas fait, et personne pour les croire.
1262	conjugaison.accord_morpho	poussa	poussent	Il monta les marches du sous-sol, poussa la porte de l'immeuble, et l'air de la nuit le frappa au visage comme une main froide.
1274	participe.accord_etre	moi	moie	— Mais ce n'est pas moi.
1275	participe.accord_etre	moi	moie	Ce n'est pas moi, Marc.
1279	homophone.ou_ou	où	ou	Ce moment où l'on comprend que la vérité ne suffit pas, que les faits ne comptent plus quand les preuves sont contre vous, des preuves fabriquées, parfaites, impossibles à contester.
1283	homophone.et_est	est	et	— Parce que Lucas est mon meilleur ami.
1302	accord.genre_det	Le	La	Le premier, minuscule, deux personnes, un lien brisé.
1302	accord.genre_adj	premier	première	Le premier, minuscule, deux personnes, un lien brisé.
1344	participe.infinitif_vers_pp	monter	montée	Il le sentait avec la certitude de celui qui a vu l'eau monter et qui sait qu'elle ne redescendra pas.
1349	participe.infinitif_vers_pp	espérer	espéré	Rien, sauf regarder les cercles s'élargir et espérer,  sans trop y croire, que le bord du lac existait encore quelque part.
1367	conjugaison.sujet_singulier	étaient	était	Samir et Nour étaient français, Damien était belge, Théo avait un passeport suisse mais n'avait pas mis les pieds en Suisse depuis quatre ans.
1368	homophone.pp_infinitif	connecté	connecter	Ils avaient convergé vers Berlin parce que Berlin attirait ce genre de gens, les déracinés numériques, les profils trop anguleux pour les organigrammes, ceux qui avaient compris que la vraie liberté se trouvait dans les interstices et que l'Allemagne, avec son cash omniprésent, ses baux au noir et sa tolérance placide pour les modes de vie non conventionnels, était l'endroit idéal pour disparaître tout en restant connecté au monde entier.
1374	conjugaison.sujet_pluriel	méritait	méritaient	L'idée qu'aucun système conçu pour contrôler des êtres humains ne méritait d'exister sans le consentement explicite de chacun d'entre eux.
1375	homophone_p2g	sont	son	Il avait lu Kropotkine à dix-sept ans, Ellul à dix-neuf, et en avait tiré une conclusion d'une simplicité tranchante : la technologie n'est jamais neutre, et ceux qui la construisent sans se poser la question de qui elle sert sont complices de ce qu'elle produit.
1375	accord.nombre_nom	complices	complice	Il avait lu Kropotkine à dix-sept ans, Ellul à dix-neuf, et en avait tiré une conclusion d'une simplicité tranchante : la technologie n'est jamais neutre, et ceux qui la construisent sans se poser la question de qui elle sert sont complices de ce qu'elle produit.
1392	participe.infinitif_vers_pp	jouer	joué	Proposer, c'est encore jouer le jeu. »
1405	conjugaison.sujet_singulier	reproduisaient	reproduisait	Elle avait bifurqué vers l'informatique par dégoût et par fascination pour ce qu'elle appelait « les systèmes vivants numériques », les réseaux, les flux de données, les écosystèmes d'information qui évoluaient, mutaient, se reproduisaient avec une logique presque organique.
1406	homophone.la_la	la	là	C'était la plus discrète des quatre et la plus dangereuse intellectuellement.
1412	negation.elision	aimait	n'aimait	Comme quelqu'un qui a déjà vu mourir ce qu'elle aimait le plus, et qui sait exactement à quoi ressemble un système qui lâche.
1433	negation.insertion		ne	Pas d'alarme à programmer, pas de métro à prendre, pas de hiérarchie à supporter.
1433	negation.insertion		ne	Pas d'alarme à programmer, pas de métro à prendre, pas de hiérarchie à supporter.
1433	syntaxe.elision	de	d'	Pas d'alarme à programmer, pas de métro à prendre, pas de hiérarchie à supporter.
1438	homophone_p2g	à	a	Des nuits à cartographier des vulnérabilités, à dessiner des scénarios sur le mur de la cuisine, un mur qu'ils avaient peint en blanc exprès pour ça et qui était maintenant couvert de schémas au feutre noir, de flèches, de noms de protocoles, et d'une citation de Thoreau que Damien avait écrite au marqueur rouge en lettres capitales : SOUS UN GOUVERNEMENT QUI EMPRISONNE INJUSTEMENT, LA VRAIE PLACE D'UN HOMME JUSTE EST EN PRISON.
1438	homophone.a_a	a	à	Des nuits à cartographier des vulnérabilités, à dessiner des scénarios sur le mur de la cuisine, un mur qu'ils avaient peint en blanc exprès pour ça et qui était maintenant couvert de schémas au feutre noir, de flèches, de noms de protocoles, et d'une citation de Thoreau que Damien avait écrite au marqueur rouge en lettres capitales : SOUS UN GOUVERNEMENT QUI EMPRISONNE INJUSTEMENT, LA VRAIE PLACE D'UN HOMME JUSTE EST EN PRISON.
1438	homophone.ca_sa	ça	sa	Des nuits à cartographier des vulnérabilités, à dessiner des scénarios sur le mur de la cuisine, un mur qu'ils avaient peint en blanc exprès pour ça et qui était maintenant couvert de schémas au feutre noir, de flèches, de noms de protocoles, et d'une citation de Thoreau que Damien avait écrite au marqueur rouge en lettres capitales : SOUS UN GOUVERNEMENT QUI EMPRISONNE INJUSTEMENT, LA VRAIE PLACE D'UN HOMME JUSTE EST EN PRISON.
1438	accord.genre_possessif	sa	son	Des nuits à cartographier des vulnérabilités, à dessiner des scénarios sur le mur de la cuisine, un mur qu'ils avaient peint en blanc exprès pour ça et qui était maintenant couvert de schémas au feutre noir, de flèches, de noms de protocoles, et d'une citation de Thoreau que Damien avait écrite au marqueur rouge en lettres capitales : SOUS UN GOUVERNEMENT QUI EMPRISONNE INJUSTEMENT, LA VRAIE PLACE D'UN HOMME JUSTE EST EN PRISON.
1448	participe.base_avoir	oubliée	oublié	Le plaisir pur de la pensée qui pousse les murs, amplifié par la weed, par la nuit berlinoise, par cette sensation d'être quatre cerveaux connectés dans une pièce que le monde avait oubliée.
1452	negation.elision	est	n'est	— Le problème, disait Damien ces soirs-là, c'est pas que le monde va mal.
1455	accord.det_nom_ver	servent	serve	Il récompense ceux qui le servent.
1456	accord.det_nom_ver	servent	serve	Et ceux qui le servent le mieux sont ceux qui Chapitre 4 : La Faille
1456	conjugaison.accord_morpho	sont	est	Et ceux qui le servent le mieux sont ceux qui Chapitre 4 : La Faille
1457	homophone_p2g	Ont	On	ont fini par croire qu'il est naturel.
1457	conjugaison.personne	fini	finit	ont fini par croire qu'il est naturel.
1458	homophone.ce_se	ce	se	— Naturel, répétait Nour avec ce demi-sourire qu'elle avait quand quelque chose la dégoûtait.
1465	conjugaison.relatif	donnons	donne	Et Samir, qui ne disait jamais rien dans ces moments-là, qui laissait les autres philosopher pendant qu'il codait, levait parfois les yeux de son écran et lâchait, d'une voix neutre : — La vitesse, c'est nous qui la donnons.
1465	participe.infinitif_vers_pp	philosopher	philosophé	Et Samir, qui ne disait jamais rien dans ces moments-là, qui laissait les autres philosopher pendant qu'il codait, levait parfois les yeux de son écran et lâchait, d'une voix neutre : — La vitesse, c'est nous qui la donnons.
1483	participe.pp_vers_infinitif	classifiées	classifier	Damien avait poussé l'idée d'un leak massif de données classifiées sur les subventions aux énergies fossiles.
1484	negation.elision	écouté	n'écouté	Samir avait écouté sans rien dire.
1496	participe.infinitif_vers_pp	crawler	crawlé	Un crawler intelligent, capable de cartographier les surfaces d'attaque d'une infrastructure à partir de données publiques : certificats SSL, entrées DNS, réponses de serveurs, métadonnées de documents accessibles.
1502	participe.infinitif_vers_pp	mesurer	mesuré	Juste pour tester l'outil sur des infrastructures critiques et mesurer ce qui fuitait à la surface.
1532	negation.elision	aie	n'aie	Si c'est un piège, c'est le piège le plus détaillé que j'aie jamais vu.
1539	homophone_p2g	a	à	Quelqu'un a mal configuré quelque chose, un serveur qui n'aurait jamais dû être exposé.
1543	participe.infinitif_vers_pp	envoyer	envoyé	Vérifier un chemin, c'était envoyer une requête.
1544	participe.infinitif_vers_pp	franchir	franchi	Envoyer une requête, c'était franchir une ligne.
1552	negation.elision	a	n'a	Damien avait dit : « C'est plus gros que tout ce qu'on a jamais touché. »
1566	participe.pp_vers_infinitif	récupérée	récupérer	Une version détournée, récupérée sur un forum du darkweb, un modèle open source dont quelqu'un avait méthodiquement retiré tous les garde-fous, toutes ces restrictions que les éditeurs imposaient pour empêcher les réponses jugées dangereuses.
1570	participe.infinitif_vers_pp	crawler	crawlé	Samir lui soumit les données récupérées par son crawler.
1575	accord.des_de	des	de	L'IA identifiait les versions des automates Siemens, les protocoles de communication, Modbus, DNP3, OPC —, les points de jonction entre le réseau administratif et le réseau industriel.
1581	negation.elision	est	n'est	C'est pas un truc de script kiddie.
1591	accord.adj_antepose	secondes	seconds	Des scripts de reconnaissance qu'il aurait pu écrire lui-même, mais que l'IA produisait en quelques secondes, propres, optimisés, sans erreurs.
1628	homophone_p2g	à	a	Six semaines pour passer d'un scan de routine à un accès complet aux systèmes de contrôle d'une centrale nucléaire.
1629	homophone.et_est	et	est	Six semaines pendant lesquelles quatre jeunes qui n'y connaissaient rien en ingénierie nucléaire avaient, avec l'aide d'une IA détournée, cartographié l'ensemble de l'architecture, identifié une chaîne d'attaque viable, et assemblé un script capable de désactiver les systèmes de refroidissement auxiliaires tout en masquant l'alerte dans le système de supervision.
