index	regle	original	corrige	phrase
1629	accord.genre_det	une	un	Six semaines pendant lesquelles quatre jeunes qui n'y connaissaient rien en ingénierie nucléaire avaient, avec l'aide d'une IA détournée, cartographié l'ensemble de l'architecture, identifié une chaîne d'attaque viable, et assemblé un script capable de désactiver les systèmes de refroidissement auxiliaires tout en masquant l'alerte dans le système de supervision.
1629	participe.pp_vers_infinitif	cartographié	cartographier	Six semaines pendant lesquelles quatre jeunes qui n'y connaissaient rien en ingénierie nucléaire avaient, avec l'aide d'une IA détournée, cartographié l'ensemble de l'architecture, identifié une chaîne d'attaque viable, et assemblé un script capable de désactiver les systèmes de refroidissement auxiliaires tout en masquant l'alerte dans le système de supervision.
1641	participe.base_avoir	emmenés	emmené	qui avait toujours été leur moteur, sauf que cette fois le moteur les avait emmenés au bord d'un précipice qu'ils n'avaient jamais eu l'intention de creuser.
1642	negation.elision	invité	n'invité	Ce samedi soir, personne n'avait invité personne d'autre.
1660	accord.genre_det	la	le	— On est en train de faire quoi, là ? dit Damien.
1668	accord.nombre_attribut	arrivés	arrivé	Comment on en est arrivés là ?
1676	accord.nombre_nom	il	ils	Les poings dans les poches, il marchait.
1676	conjugaison.personne	marchait	marchaient	Les poings dans les poches, il marchait.
1684	homophone.ce_se	se	ce	Les institutions sont incapables de se Chapitre 4 : La Faille
1691	participe.infinitif_vers_pp	dégonfler	dégonflé	— Ce n'est pas se dégonfler, dit Samir.
1691	participe.accord_etre	dégonflé	dégonflée	— Ce n'est pas se dégonfler, dit Samir.
1701	participe.pp_vers_infinitif	compressée	compresser	De la colère accumulée, compressée, qui cherchait une issue.
1713	accord.genre_attribut	sérieux	sérieuse	Mais si les gens en face sont sérieux (et la DGSI est sérieuse quand il s'agit du nucléaire), ils ont des moyens qu'on n'imagine même pas.
1713	accord.nombre_attribut	sérieuse	sérieuses	Mais si les gens en face sont sérieux (et la DGSI est sérieuse quand il s'agit du nucléaire), ils ont des moyens qu'on n'imagine même pas.
1714	accord.nombre_attribut	repérés	repéré	On est peut-être déjà repérés.
1715	conjugaison.personne	regardent	regardons	Peut-être qu'ils nous regardent en ce moment même.
1718	conjugaison.infinitif	chercher	cherchons	Qui viendra nous chercher ?
1730	accord.genre_det	ces	ce	Et en dessous de ces treize caractères, il y a trois cent vingt-deux mille neuf cent quatorze lignes de code dont j'en ai écrit peut-être seulement mille.
1740	accord.genre_det	une	un	Parce qu'il a été généré par une IA qui a été nourrie avec les données les plus sensibles d'une installation nucléaire.
1741	participe.pp_vers_infinitif	exécuté	exécuter	On n'a rien fait d'extraordinaire : on a juste discuté avec une appli détournée, exécuté du code et envoyé des requêtes.
1750	participe.infinitif_vers_pp	assise	assisé	Elle était assise en tailleur sur le sol, le dos contre le mur, les yeux fermés.
1751	accord.nombre_nom	la	las	Les trois autres la regardaient par intermittence, comme on vérifie la position d'une boussole.
1774	accord.sujet_verbe	dit	disent	— On parle de tuer des gens, dit Nour.
1782	accord.sujet_verbe	dit	disent	— Le système tue des gens tous les jours, dit Théo, mais sa voix avait perdu toute sa force.
1794	accord.nombre_attribut	arrivés	arrivé	Et on est arrivés là sans même s'en rendre compte.
1797	participe.infinitif_vers_pp	porter	porté	On s'est laissé porter par l'excitation, par la facilité avec laquelle les portes tombaient, par cette IA qui faisait tout le boulot à notre place.
1813	conjugaison.infinitif_apres_pronom	faire	fait	— Si nous on peut le faire, dit Nour, alors d'autres peuvent le faire.
1830	participe.base_avoir	générés	généré	Supprima les scripts, ceux qu'il avait écrits et ceux que l'IA avait générés.
1852	conjugaison.sujet_singulier	étaient	était	Cette distance qui leur avait toujours servi de filet de sécurité, la certitude rassurante que rêver de chaos et le provoquer étaient deux choses radicalement différentes, séparées par un abîme infranchissable.
1852	participe.infinitif_vers_pp	provoquer	provoqué	Cette distance qui leur avait toujours servi de filet de sécurité, la certitude rassurante que rêver de chaos et le provoquer étaient deux choses radicalement différentes, séparées par un abîme infranchissable.
1868	conjugaison.infinitif	informer	informez	Françaises, Français, Je m'adresse à vous ce soir pour vous informer d'un événement d'une gravité sans précédent depuis la ﬁn de la Seconde Guerre mondiale.
1868	syntaxe.elision	la	l'	Françaises, Français, Je m'adresse à vous ce soir pour vous informer d'un événement d'une gravité sans précédent depuis la ﬁn de la Seconde Guerre mondiale.
1880	participe.pp_vers_infinitif	assumé	assumer	Il s'agit d'un acte de guerre délibéré, assumé, contre la République française et contre ses enfants.
1916	participe.base_avoir	vécue	vécu	Son grand-père l'avait vécue.
1925	accord.sujet_verbe	ouvrit	ouvrissent	Elle monta les marches sans les sentir, ouvrit la porte de sa chambre.
1933	participe.accord_etre	mis	mi	Rayan avait les écouteurs sur les oreilles quand son téléphone s'était mis à vibrer sans s'arrêter.
1937	homophone.ce_se	ce	se	C'est quoi ce délire le président il déclare la guerre C'est fake non ? ??
1938	accord.sujet_verbe	regarde	regardent	Nan frère c'est sur toutes les chaînes regarde !
1941	accord.genre_adj	général	générale	Le bandeau rouge barrait l'écran : ALLOCUTION EXCEPTIONNELLE DU PRÉSIDENT DE LA RÉPUBLIQUE, LA FRANCE DÉCLARE LA MOBILISATION GÉNÉRALE.
1952	accord.adj_antepose	secondes	seconds	Trente secondes plus tard, il entendit des pas dans l'escalier, puis la voix de sa mère, étouffée, derrière la porte de la chambre de ses parents.
1952	negation.elision	entendit	n'entendit	Trente secondes plus tard, il entendit des pas dans l'escalier, puis la voix de sa mère, étouffée, derrière la porte de la chambre de ses parents.
1976	participe.pp_vers_infinitif	authentifié	authentifier	C'était le principe même de son existence, un tuyau inviolable, vérifié, authentifié, dont la fiabilité était la condition de tout le reste.
2032	homophone_p2g	à	a	Que restait-il à vérifier ?
2032	participe.infinitif_vers_pp	vérifier	vérifié	Que restait-il à vérifier ?
2035	homophone.ou_ou	où	ou	L'appartement de sa sœur était calme, trop calme, ce silence particulier des lieux où l'on vit par défaut, parce qu'on n'a nulle part ailleurs où aller.
2065	participe.base_avoir	posée	posé	Elle pensa à la question qu'il avait posée.
2069	negation.insertion		ne	Et pour la première fois, elle formula la pensée que personne, nulle part, n'osait encore formuler.
2116	conjugaison.sujet_pluriel	lut	lutent	Il vit les visages, lut l'urgence.
2146	participe.pp_vers_infinitif	si	sir	Ils ne savaient pas si c'était lui ou non.
2147	participe.infinitif_vers_pp	réveiller	réveillé	Ils étaient venus le réveiller, ils lui avaient montré la vidéo, et ils attendaient, ils attendaient qu'il leur dise si oui ou non il avait enregistré cette allocution, déclaré la guerre, engagé la mobilisation de soixante-sept millions de personnes.
2148	participe.accord_etre	moi	moie	— Ce n'est pas moi, dit-il.
2151	homophone.ou_ou	où	ou	Les mêmes que ceux de n'importe qui, n'importe où, confronté à l'évidence d'un acte qu'il n'a pas commis.
2152	participe.accord_etre	moi	moie	Ce n'est pas moi.
2186	negation.insertion		ne	Si le Président de la République française pouvait être usurpé, sa voix, son visage, son bureau, son canal sécurisé, alors plus rien ne tenait.
2188	negation.insertion		ne	Plus aucun traité, plus aucun ordre, plus aucune déclaration ne pouvait être tenue pour authentique.
2200	homophone.ou_ou	où	ou	La vérité, elle, révélait un monde où plus personne ne pouvait parler au nom de personne.
2201	homophone.ou_ou	où	ou	Un monde où les
2259	negation.insertion		ne	— C'est que... si on peut fabriquer la voix et le visage d'un président, alors on ne peut plus croire personne.
2282	negation.elision	accrocher	n'accrocher	Quand il n'a plus rien à quoi s'accrocher, pas de livre, pas de conversation, pas de tâche, il fabrique lui-même ses propres objets.
2299	homophone.ou_ou	où	ou	— Tu as peur, dit-il sans se retourner, que le monde devienne un endroit où l'on ne peut plus distinguer le vrai du faux.
2307	accord.genre_attribut	humain	humaine	— L'être humain, dit Ajahn Kham, n'a jamais vécu dans le réel.
2310	homophone_p2g	a	à	à lui-même et aux autres.
2310	homophone.et_est	et	est	à lui-même et aux autres.
2311	homophone.et_est	est	et	Des histoires sur ce qu'il est, sur ce que le monde est, sur ce qui a de la valeur et ce qui n'en a pas.
2311	homophone.et_est	est	et	Des histoires sur ce qu'il est, sur ce que le monde est, sur ce qui a de la valeur et ce qui n'en a pas.
2320	negation.insertion		ne	Quelque chose dans les mots d'Ajahn Kham avait la densité des choses simples qui contiennent beaucoup plus qu'elles ne montrent.
2324	participe.infinitif_vers_pp	double	doublé	— Ce qui a changé, et c'est immense, c'est double.
2341	homophone_p2g	a	à	Il a faim, il a froid, il souffre, il meurt.
2343	participe.infinitif_vers_pp	tourner	tourné	Il cueillit une feuille au passage, la fit tourner entre ses doigts.
2361	participe.base_avoir	enseignée	enseigné	— Il y a une chose que le Bouddha a enseignée, dit Ajahn Kham, et qui n'a jamais été aussi pertinente qu'aujourd'hui.
2372	homophone.son_sont	son	sont	C'est une vibration de l'air, un signal électrique, une convention entre deux esprits qui ont accepté de donner le même sens au même son.
2381	homophone.et_est	est	et	Parce que vivre dans un monde vide est terrifiant.
2388	conjugaison.infinitif	éviter	évitons	Toute une architecture de confiance dont le seul but était de nous éviter la question : est-ce que ce que je perçois est réel ?
2391	participe.base_avoir	attaquée	attaqué	Pas parce que quelqu'un l'a attaquée, même si certains l'attaquent.
2414	participe.infinitif_vers_pp	vérifier	vérifié	Je ne peux pas vérifier par moi-même, alors je m'en remets à un intermédiaire.
2419	participe.infinitif_vers_pp	couler	coulé	Il prit une poignée de terre, la laissa couler entre ses doigts.
2420	negation.insertion		ne	— Le Bouddha n'a jamais demandé à personne de lui faire confiance.
2450	participe.base_avoir	transformés	transformé	L'esprit humain a fait avec les enseignements de libération exactement ce qu'il fait avec tout le reste : il les a transformés en récits, et il s'y est attaché.
2462	conjugaison.accord_morpho	sont	est	L'espoir et la méthode sont eux-mêmes des constructions.
2496	participe.base_avoir	eue	eu	Peut-être la plus grande occasion que l'humanité ait jamais eue.
2496	negation.elision	ait	n'ait	Peut-être la plus grande occasion que l'humanité ait jamais eue.
2500	homophone.la_la	la	là	De revenir à l'expérience directe : ce qui est là, maintenant, devant toi, sans médiation, sans narration, sans interprétation.
2532	homophone_p2g	a	à	— Le Bouddha, dit Ajahn Kham d'une voix si basse qu'elle se confondait avec le vent, a enseigné que la souffrance vient de l'attachement.
2532	participe.pp_vers_infinitif	enseigné	enseigner	— Le Bouddha, dit Ajahn Kham d'une voix si basse qu'elle se confondait avec le vent, a enseigné que la souffrance vient de l'attachement.
2535	homophone.et_est	est	et	L'attachement aux histoires est le problème.
2537	participe.infinitif_vers_pp	raconter	racontée	Il peut la raconter sans la confondre avec le réel.
2548	negation.insertion		ne	— Et c'est peut-être, dit-il, le plus grand enseignement que l'humanité recevra jamais.
2557	negation.insertion		ne	Un espace où il n'y avait rien à croire et rien à nier.
2571	accord.genre_adj	latent	latente	D'autres encore diront que ça n'a jamais vraiment commencé, que c'était toujours là, latent, et qu'il a simplement fallu un déclencheur.
2578	conjugaison.sujet_singulier	prenaient	prenait	Des mots qu'on utilisait depuis toujours, mais qui soudain prenaient une densité nouvelle, une urgence qu'ils n'avaient pas avant.
2583	participe.pp_vers_infinitif	au	aure	Quelque chose que tout le monde savait déjà, au fond, mais qu'on n'avait jamais formulé aussi clairement.
2599	accord.nombre_adj	bon	bons	Des phrases de bon sens.
2600	accord.nombre_adj	bon	bons	De bon sens apparent.
2636	negation.insertion		ne	Des gens ordinaires, raisonnables, qui trouvaient ça « pas si bête quand on y réfléchit ».
2637	accord.nombre_adj	gauche	gauches	Les oppositions classiques, gauche, droite, syndicats, associations, semblaient incapables de formuler une réponse.
2637	accord.nombre_adj	droite	droites	Les oppositions classiques, gauche, droite, syndicats, associations, semblaient incapables de formuler une réponse.
2653	homophone.ou_ou	où	ou	Personne ne lui avait demandé d'où venait cette impression que ait conçue pour faire.
2653	participe.base_avoir	conçue	conçu	Personne ne lui avait demandé d'où venait cette impression que ait conçue pour faire.
2667	accord.genre_adj	assis	assise	Il était juste là, assis, à regarder les gens passer.
2667	participe.infinitif_vers_pp	passer	passés	Il était juste là, assis, à regarder les gens passer.
2667	syntaxe.elision	la	l'	Il était juste là, assis, à regarder les gens passer.
2687	homophone.on_ont	on	ont	Des algorithmes, on ne savait pas exactement lesquels, calculaient le score de chaque citoyen en temps réel, à partir de données fiscales, professionnelles, administratives.
2704	participe.pp_vers_infinitif	mesurée	mesurer	Le sentiment d'avoir été pesée, mesurée, évaluée, et d'avoir accepté le verdict sans protester.
2704	participe.pp_vers_infinitif	évaluée	évaluer	Le sentiment d'avoir été pesée, mesurée, évaluée, et d'avoir accepté le verdict sans protester.
2707	homophone_p2g	a	à	À l'école, les bulletins incluaient désormais un « indice d'engagement » qui alimentait une version junior du score.
2744	accord.nombre_adj	suivant	suivants	Cent vingt millions le mois suivant, traduite dans une quarantaine de langues.
2756	conjugaison.personne	a	avons	— On travaille parce qu'on nous a dit que c'était normal.
2759	accord.nombre_attribut	petits	petit	— Ben, on nous dit depuis qu'on est petits que le but c'est d'avoir un métier.
2759	conjugaison.personne	dit	disons	— Ben, on nous dit depuis qu'on est petits que le but c'est d'avoir un métier.
2760	negation.elision	es	n'es	Que si t'as pas de travail, t'es rien.
2760	negation.elision	as	n'as	Que si t'as pas de travail, t'es rien.
2763	negation.elision	est	n'est	C'est pas une loi de la nature.
2764	negation.insertion		ne	Les animaux travaillent pas.
2765	negation.insertion		ne	Les arbres produisent pas de valeur ajoutée.
2772	accord.nombre_nom	semblant	semblants	On fait tous semblant d'y croire, et ça marche parce que tout le monde fait semblant en même temps.
2773	homophone.a_a	a	à	C'est comme le Père Noël, sauf que personne n'a le droit de dire que c'est pas vrai.
2773	negation.elision	est	n'est	C'est comme le Père Noël, sauf que personne n'a le droit de dire que c'est pas vrai.
2778	negation.elision	est	n'est	C'est pas la même chose.
2785	negation.elision	est	n'est	C’est pas étonnant : C'est exactement ce qu'on fait depuis toujours !
2786	negation.elision	est	n'est	Les notes à l'école, le salaire, le patrimoine, c'est quoi, si c'est pas un score ?
2789	homophone_p2g	on	ont	— Et nous, on a quoi ? reprit la fille du premier rang.
2789	homophone_p2g	a	à	— Et nous, on a quoi ? reprit la fille du premier rang.
2789	conjugaison.personne	ont	avons	— Et nous, on a quoi ? reprit la fille du premier rang.
2790	accord.nombre_attribut	notés	noté	Seize, dix-sept ans, et on est déjà notés, classés, triés.
2790	participe.pp_vers_infinitif	classés	classer	Seize, dix-sept ans, et on est déjà notés, classés, triés.
2810	negation.insertion		ne	Les adultes, ils voient même pas le problème.
2815	homophone.ca_sa	ça	sa	— Peut-être que c'est ça, grandir, dit une voix.
2843	participe.base_avoir	frappée	frappé	Sophie se souvint du jour où ça l'avait frappée.
2844	participe.accord_etre	au	aue	Elle était au bureau, devant son écran, en train de dessiner la façade d'un immeuble de bureaux pour un promoteur immobilier.
2846	conjugaison.sujet_singulier	contribueraient	contribuerait	Des centaines de personnes y travailleraient, produiraient, contribueraient.
2848	participe.pp_vers_infinitif	pensé	penser	Et soudain, elle avait vu, pas pensé, vu, avec une clarté physique, presque douloureuse, l'absurdité de la boucle.
2848	negation.insertion		ne	Et soudain, elle avait vu, pas pensé, vu, avec une clarté physique, presque douloureuse, l'absurdité de la boucle.
2853	accord.genre_det	La	Le	La Chapitre 7 : L'Épidémie
2857	participe.infinitif_vers_pp	avancer	avancé	Et tout le monde courait à l'intérieur, comme des hamsters dans une roue, en croyant avancer.
2859	participe.base_avoir	formulée	formulé	Des philosophes, des poètes, des marginaux l'avaient formulée depuis des siècles.
2871	participe.infinitif_vers_pp	remise	remisé	Tout cela était le point d'aboutissement logique d'une croyance si ancienne, si profondément intégrée, que personne ne l'avait jamais remise en question.
2871	negation.elision	intégrée	n'intégrée	Tout cela était le point d'aboutissement logique d'une croyance si ancienne, si profondément intégrée, que personne ne l'avait jamais remise en question.
2876	homophone.pp_infinitif	affiché	afficher	Et c'est en voyant le chiffre, en le voyant affiché noir sur blanc, sur un écran, à côté de son nom, que les gens avaient compris.
2885	participe.base_avoir	choisies	choisi	Des idées que personne n'avait choisies.
2886	participe.pp_vers_infinitif	intégrées	intégrer	Des idées que tout le monde avait reçues, intégrées, habitées, sans jamais demander d'où elles venaient ni qui les avait décidées.
2886	participe.pp_vers_infinitif	habitées	habiter	Des idées que tout le monde avait reçues, intégrées, habitées, sans jamais demander d'où elles venaient ni qui les avait décidées.
2886	participe.base_avoir	décidées	décidé	Des idées que tout le monde avait reçues, intégrées, habitées, sans jamais demander d'où elles venaient ni qui les avait décidées.
2886	negation.elision	habiter	n'habiter	Des idées que tout le monde avait reçues, intégrées, habitées, sans jamais demander d'où elles venaient ni qui les avait décidées.
2892	participe.infinitif_vers_pp	exister	existé	Qui avait gravé dans les esprits cette équation silencieuse : produire, c'est exister ?
2907	participe.infinitif_vers_pp	couler	coulée	Les quais de la Garonne étaient pleins de gens qui marchaient lentement, qui s'asseyaient sur les bancs, qui regardaient l'eau couler.
2946	participe.base_avoir	portées	porté	Elle pensa aux histoires qu'elle avait portées pendant quarante-deux ans sans jamais les examiner.
2946	participe.infinitif_vers_pp	examiner	examinées	Elle pensa aux histoires qu'elle avait portées pendant quarante-deux ans sans jamais les examiner.
2951	homophone.ce_se	ce	se	Des mots qui, ce soir, pour la première fois, sonnaient creux.
2960	participe.infinitif_vers_pp	assise	assisé	Héloïse Marchand était assise devant la console de monitoring du KM3NeT, dans la salle de contrôle du Centre de Physique des Particules de Marseille.
2961	participe.pp_vers_infinitif	portée	porter	Un café tiède à portée de main, les pieds remontés sur la chaise voisine, les yeux mi-clos.
2964	participe.pp_vers_infinitif	immergés	immerger	Le détecteur KM3NeT, trois mille cinq cents modules optiques immergés à deux mille cinq cents mètres de profondeur en Méditerranée, guettait les neutrinos cosmiques depuis sept ans.
2966	accord.genre_det	un	une	De temps en temps, l'une d'entre elles frappait un noyau dans l'eau noire de la mer et produisait un minuscule flash de lumière bleue, la radiation Tcherenkov, que les capteurs enregistraient.
2986	negation.insertion		ne	Le cœur d'une étoile massive qui s'affaisse sur lui- même en un instant, libérant plus d'énergie sous forme de neutrinos en dix secondes que le Soleil n'en rayonnera en dix milliards d'années.
2988	conjugaison.sujet_pluriel	venait	venaient	L'alerte SNEWS, le réseau mondial d'alerte précoce aux supernovae, qui reliait entre eux tous les détecteurs de neutrinos de la planète, venait de se déclencher automatiquement.
2989	conjugaison.sujet_singulier	rapportaient	rapportait	Simultanément, Super-Kamiokande au Japon, IceCube au pôle Sud, JUNO en Chine et SNO+ au Canada rapportaient la même chose.
3000	homophone_p2g	a	à	À l'instant, KM3NeT en avait enregistré plus de cinquante mille.
3000	negation.elision	enregistré	n'enregistré	À l'instant, KM3NeT en avait enregistré plus de cinquante mille.
3004	participe.pp_vers_infinitif	arrivée	arriver	Cinq détecteurs répartis sur cinq continents voient le signal avec des temps d'arrivée légèrement différents, des microsecondes d'écart, dues à la géométrie.
3010	accord.adj_antepose	secondes	seconds	En quelques secondes, le résultat apparut.
3010	accord.nombre_nom	le	les	En quelques secondes, le résultat apparut.
3010	accord.nombre_nom	résultat	résultats	En quelques secondes, le résultat apparut.
3015	accord.nombre_nom	années-lumière	années-lumières	Cent soixante-deux années-lumière.
3017	accord.nombre_nom	années-lumière	années-lumières	Cent soixante-deux années-lumière.
3030	accord.nombre_adj	cohérente	cohérentes	Une structure asymétrique dans la polarisation des ondes, cohérente avec la formation d'un jet relativiste, un faisceau de matière et d'énergie projeté à des vitesses proches de celle de la lumière depuis les pôles du trou noir naissant.
3038	accord.adj_antepose	secondes	seconds	En quelques secondes, un GRB libère autant d'énergie que le Soleil en dix milliards d'années, concentrée dans un cône étroit de quelques degrés.
3038	accord.nombre_nom	un	uns	En quelques secondes, un GRB libère autant d'énergie que le Soleil en dix milliards d'années, concentrée dans un cône étroit de quelques degrés.
3039	homophone.la_la	la	là	La question suivante était la plus importante de toutes : vers où pointe le jet ?
3075	conjugaison.accord_morpho	complètes	complètent	Enfin, après une nouvelle passe de calculs incluant les données gravitationnelles complètes, une dernière valeur s'imposa dans toutes les simulations : 2 h 57, heure de Paris.
3083	participe.base_avoir	formulée	formulé	Celle dont Héloïse connaissait la réponse mais qu'elle n'avait pas encore formulée à voix haute.
3085	homophone_p2g	a	à	À cent soixante-deux années-lumière, quel serait l'effet d'un sursaut gamma de cette puissance sur la Terre ?
3085	accord.nombre_nom	années-lumière	années-lumières	À cent soixante-deux années-lumière, quel serait l'effet d'un sursaut gamma de cette puissance sur la Terre ?
3085	accord.nombre_adj	quel	quels	À cent soixante-deux années-lumière, quel serait l'effet d'un sursaut gamma de cette puissance sur la Terre ?
3086	homophone.et_est	est	et	La réponse tenait en quelques paragraphes, publiés à vingt-trois heures dans un preprint cosigné par vingt-six auteurs de onze institutions : Le ﬂux de rayonnement gamma attendu à la distance de 162 années- lumière, pour un GRB d'énergie isotrope équivalente de 2 × 10⁵³ erg et un angle d'ouverture de jet de 4°, est de l'ordre de 4 × 10⁹ J/m².
3086	syntaxe.elision	de	d'	La réponse tenait en quelques paragraphes, publiés à vingt-trois heures dans un preprint cosigné par vingt-six auteurs de onze institutions : Le ﬂux de rayonnement gamma attendu à la distance de 162 années- lumière, pour un GRB d'énergie isotrope équivalente de 2 × 10⁵³ erg et un angle d'ouverture de jet de 4°, est de l'ordre de 4 × 10⁹ J/m².
3089	accord.nombre_nom	létaux	létal	L'hémisphère non exposé subira des eﬀets secondaires (onde de choc atmosphérique, retombées chimiques, eﬀondrement du bouclier UV) létaux en quelques jours à quelques semaines.
3098	participe.accord_etre	interdit	interdites	Un autre fumait à la fenêtre ouverte, bien que ce fût interdit depuis dix ans.
3109	accord.genre_adj	National	Nationale	Autour de la table : la directrice de la NASA, le National Security Advisor, le secrétaire à la Défense, le directeur de la National Science Foundation, le chef d'État-major interarmées, et, en visioconférence sur trois écrans, le directeur général de l'Agence spatiale européenne depuis Paris, le directeur de LIGO depuis Caltech, et le responsable du réseau SNEWS depuis l'université de Boston.
3117	participe.pp_vers_infinitif	arrivée	arriver	— La marge d'erreur sur l'heure d'arrivée ? demanda-t-il.
3121	participe.pp_vers_infinitif	arrivée	arriver	— L'hémisphère exposé dépend de l'heure exacte d'arrivée.
3122	conjugaison.accord_morpho	sont	est	Si le GRB frappe à 2 h 57 heure de Paris, l'Europe, l'Afrique et l'Asie occidentale sont sur l'hémisphère exposé.
3128	participe.infinitif_vers_pp	échapper	échappé	— Existe-t-il un moyen d'y échapper ? demanda le secrétaire à la Défense.
3137	conjugaison.accord_morpho	ont	a	— Monsieur le Président, dit la directrice de la NASA, cinq détecteurs de neutrinos sur cinq continents ont enregistré le même signal à la même seconde.
